,polarity,tweet
0,0.2,elonmusk I think #Tesla developer ready activate #dogecoin payment
1,-0.3,#Tesla #Model Californias San Bernardino Mountains loses control fall ft side mountain occupa
2,0.13636363636363635,DogeLoverHodler Did hear NASA perseverance rover getting new buddy Mars yet Meet #Dogeover
3,-0.30000000000000004,I cant believe I charge slow rate travjax ShyCybertruck WholeMarsBlog Orangetilt
4,0.2,Watch reaction I warned fastest car world He didnt think could much faster
5,0.0,Might breaking news letter gone known EV owner asking take photo dashboard
6,0.0,How Not To Take Things Personally Closing Sales Training Just Business via YouTube
7,-0.6999999999999998,Probably bad news Q #Tesla
8,0.25,elonmusk I wanna buy first #Tesla #dogecoin shoutout #dogecoin
9,0.0,Current #Tesla Price
10,0.0,elonmusk shout #tesla #icp #Doge #shiba
11,0.35,elonmusk Please make eye glass lot tech Needs Full headset capability Cameras Flashlig
12,1.0,elonmusk Awesome CEO like Henry Ford said take factory burn building give pe
13,0.12083333333333333,Its worth noting Tesla major automaker claim domestic production car sell th
14,0.75,elonmusk elonmusk HeyGood Evening You Tesla team great job Keep good work h
15,0.0,jpr Finally something halfway sensible mainstream analyst Yes #Tesla anchored three l
16,0.2,Watch reaction I warned fastest car world He didnt think could much faster
17,0.2,Watch reaction I warned fastest car world He didnt think could much faster
18,0.0,elonmusk elonmusk I agree Thank Tesla team tackling big problem making effort make th
19,0.0,This hp electric Lotus Evora powered #tesla Chevrolet #tuning
20,0.13333333333333333,Tesla Team Appreciation Tweet I Personally Feel Appreciated For My Contributions At Tesla Thanks Boss
21,0.0,elonmusk Like Teslas around house parked graduation here two Paramus NJ #Tesla #Elonmusk
22,0.0,The model S Plaid wider meaner ever Heres launching outside Tesla Tysons Corner #tesla #plaid
23,0.2,elonmusk I think #Tesla developer ready activate #dogecoin payment
24,0.0,elonmusk Congrats u #tesla
25,0.19374999999999998,A record Quarter #Tesla Elon good mood end Quarter mean thing
26,0.0,elonmusk Can use #SHIB buy #Tesla carSir
27,0.0,elonmusk Buy #Tesla #dogecoin #DogeFather
28,1.0,Speaking awesome #Tesla team FSD v coming Imminent release #wenfsd
29,0.0,elonmusk #Tesla #Dogecoin moon
30,0.4,I proud support great American company American made car #tesla #model
31,0.7,elonmusk Good jon #tesla
32,0.0,CatzCoin MEOWMEOW GOES VMM VMM TheCoineader cuanselalu jibdannydev chrdryl nemoryoliver
33,-0.4,Where fuck Gordon TSLA #Tesla
34,0.0,No doubt mind Tsla going #Tesla
35,0.0,CLSH Achieves Monumental #LasVagas #cannabis #marijuana #CBD #wsj #nytimes #business #reuters #I
36,0.1388888888888889,Not basic white bitch gay bar also I overheard word #Tesla
37,0.13636363636363635,DogeLoverHodler Did hear NASA perseverance rover getting new buddy Mars yet Meet #Dogeover
38,0.13636363636363635,Tesla Unveils Its New Supercomputer To Train SelfDriving AI #Tesla #SuperComputer #ArtificialIntelligence #AI #
39,0.7,elonmusk #tesla #fsdbeta bought week want another one Good bought
40,0.0,CLSH Achieves Monumental #LasVagas #cannabis #marijuana #CBD #wsj #nytimes #business
41,-0.03571428571428571,Currently DOGE At rate #Tesla #Cybertruck cost Single MotorWD Dual Mot
42,0.13636363636363635,DogeLoverHodler Did hear NASA perseverance rover getting new buddy Mars yet Meet #Doge
43,0.0,BEAKING officially breached TSLA #Tesla
44,-0.15,IF probably WAS tesla #teslas #bitcoin wallet Elon Musk sold average k He said sold
